Compass Angle: 15.0, Distance 1: 105.0, Distance 2: 50.0
Compass Angle: 11.0, Distance 1: 106.0, Distance 2: 50.0
Compass Angle: 6.0, Distance 1: 106.0, Distance 2: 50.0
Compass Angle: 11.0, Distance 1: 106.0, Distance 2: 50.0
Compass Angle: 10.0, Distance 1: 106.0, Distance 2: 50.0
Compass Angle: 8.0, Distance 1: 106.0, Distance 2: 50.0
Compass Angle: 7.0, Distance 1: 106.0, Distance 2: 50.0
Compass Angle: 10.0, Distance 1: 106.0, Distance 2: 50.0
Compass Angle: 6.0, Distance 1: 105.0, Distance 2: 50.0
Compass Angle: 3.0, Distance 1: 105.0, Distance 2: 50.0
Compass Angle: 4.0, Distance 1: 105.0, Distance 2: 50.0
Compass Angle: 2.0, Distance 1: 105.0, Distance 2: 50.0
Compass Angle: 357.0, Distance 1: 105.0, Distance 2: 50.0
Compass Angle: 353.0, Distance 1: 104.0, Distance 2: 50.0
Compass Angle: 350.0, Distance 1: 105.0, Distance 2: 50.0
Compass Angle: 345.0, Distance 1: 105.0, Distance 2: 50.0
Compass Angle: 341.0, Distance 1: 105.0, Distance 2: 50.0
Compass Angle: 340.0, Distance 1: 105.0, Distance 2: 50.0
Compass Angle: 337.0, Distance 1: 105.0, Distance 2: 50.0
Compass Angle: 332.0, Distance 1: 105.0, Distance 2: 50.0
Compass Angle: 326.0, Distance 1: 106.0, Distance 2: 50.0
Compass Angle: 321.0, Distance 1: 97.0, Distance 2: 50.0
Compass Angle: 318.0, Distance 1: 90.0, Distance 2: 50.0
Compass Angle: 318.0, Distance 1: 94.0, Distance 2: 50.0
Compass Angle: 310.0, Distance 1: 76.0, Distance 2: 50.0
Compass Angle: 310.0, Distance 1: 87.0, Distance 2: 50.0
Compass Angle: 303.0, Distance 1: 79.0, Distance 2: 50.0
Compass Angle: 303.0, Distance 1: 76.0, Distance 2: 50.0
Compass Angle: 299.0, Distance 1: 77.0, Distance 2: 50.0
Compass Angle: 295.0, Distance 1: 78.0, Distance 2: 50.0
Compass Angle: 297.0, Distance 1: 74.0, Distance 2: 50.0
Compass Angle: 289.0, Distance 1: 76.0, Distance 2: 50.0
Compass Angle: 284.0, Distance 1: 74.0, Distance 2: 50.0
Compass Angle: 281.0, Distance 1: 74.0, Distance 2: 50.0
Compass Angle: 281.0, Distance 1: 72.0, Distance 2: 50.0
Compass Angle: 279.0, Distance 1: 72.0, Distance 2: 50.0
Compass Angle: 277.0, Distance 1: 83.0, Distance 2: 50.0
Compass Angle: 282.0, Distance 1: 73.0, Distance 2: 50.0
Compass Angle: 279.0, Distance 1: 76.0, Distance 2: 50.0
Compass Angle: 272.0, Distance 1: 74.0, Distance 2: 50.0
Compass Angle: 272.0, Distance 1: 88.0, Distance 2: 50.0
Compass Angle: 270.0, Distance 1: 72.0, Distance 2: 50.0
Compass Angle: 264.0, Distance 1: 72.0, Distance 2: 50.0
Compass Angle: 262.0, Distance 1: 71.0, Distance 2: 50.0
Compass Angle: 258.0, Distance 1: 72.0, Distance 2: 50.0
Compass Angle: 256.0, Distance 1: 72.0, Distance 2: 50.0
Compass Angle: 252.0, Distance 1: 73.0, Distance 2: 50.0
Compass Angle: 250.0, Distance 1: 86.0, Distance 2: 50.0
Compass Angle: 246.0, Distance 1: 89.0, Distance 2: 50.0
Compass Angle: 245.0, Distance 1: 82.0, Distance 2: 50.0
Compass Angle: 245.0, Distance 1: 83.0, Distance 2: 50.0
Compass Angle: 243.0, Distance 1: 90.0, Distance 2: 50.0
Compass Angle: 239.0, Distance 1: 89.0, Distance 2: 50.0
Compass Angle: 236.0, Distance 1: 95.0, Distance 2: 50.0
Compass Angle: 234.0, Distance 1: 96.0, Distance 2: 50.0
Compass Angle: 232.0, Distance 1: 96.0, Distance 2: 50.0
Compass Angle: 230.0, Distance 1: 98.0, Distance 2: 50.0
Compass Angle: 229.0, Distance 1: 101.0, Distance 2: 50.0
Compass Angle: 225.0, Distance 1: 110.0, Distance 2: 50.0
Compass Angle: 224.0, Distance 1: 111.0, Distance 2: 50.0
Compass Angle: 223.0, Distance 1: 116.0, Distance 2: 50.0
Compass Angle: 218.0, Distance 1: 115.0, Distance 2: 50.0
Compass Angle: 213.0, Distance 1: 117.0, Distance 2: 50.0
Compass Angle: 209.0, Distance 1: 112.0, Distance 2: 50.0
Compass Angle: 206.0, Distance 1: 111.0, Distance 2: 50.0
Compass Angle: 203.0, Distance 1: 97.0, Distance 2: 50.0
Compass Angle: 201.0, Distance 1: 98.0, Distance 2: 50.0
Compass Angle: 201.0, Distance 1: 102.0, Distance 2: 50.0
Compass Angle: 198.0, Distance 1: 103.0, Distance 2: 50.0
Compass Angle: 193.0, Distance 1: 92.0, Distance 2: 50.0
Compass Angle: 192.0, Distance 1: 94.0, Distance 2: 50.0
Compass Angle: 190.0, Distance 1: 92.0, Distance 2: 50.0
Compass Angle: 186.0, Distance 1: 93.0, Distance 2: 50.0
Compass Angle: 180.0, Distance 1: 94.0, Distance 2: 50.0
Compass Angle: 181.0, Distance 1: 92.0, Distance 2: 50.0
Compass Angle: 180.0, Distance 1: 95.0, Distance 2: 50.0
Compass Angle: 176.0, Distance 1: 94.0, Distance 2: 50.0
Compass Angle: 171.0, Distance 1: 101.0, Distance 2: 50.0
Compass Angle: 168.0, Distance 1: 98.0, Distance 2: 50.0
Compass Angle: 167.0, Distance 1: 108.0, Distance 2: 50.0
Compass Angle: 163.0, Distance 1: 114.0, Distance 2: 50.0
Compass Angle: 164.0, Distance 1: 104.0, Distance 2: 50.0
Compass Angle: 161.0, Distance 1: 111.0, Distance 2: 50.0
Compass Angle: 156.0, Distance 1: 114.0, Distance 2: 50.0
Compass Angle: 160.0, Distance 1: 113.0, Distance 2: 50.0
Compass Angle: 151.0, Distance 1: 115.0, Distance 2: 50.0
Compass Angle: 151.0, Distance 1: 114.0, Distance 2: 50.0
Compass Angle: 150.0, Distance 1: 117.0, Distance 2: 50.0
Compass Angle: 144.0, Distance 1: 116.0, Distance 2: 50.0
Compass Angle: 145.0, Distance 1: 112.0, Distance 2: 50.0
Compass Angle: 142.0, Distance 1: 120.0, Distance 2: 50.0
Compass Angle: 138.0, Distance 1: 114.0, Distance 2: 50.0
Compass Angle: 137.0, Distance 1: 115.0, Distance 2: 50.0
Compass Angle: 136.0, Distance 1: 121.0, Distance 2: 50.0
Compass Angle: 125.0, Distance 1: 130.0, Distance 2: 50.0
Compass Angle: 123.0, Distance 1: 156.0, Distance 2: 50.0
Compass Angle: 118.0, Distance 1: 133.0, Distance 2: 50.0
Compass Angle: 120.0, Distance 1: 111.0, Distance 2: 50.0
Compass Angle: 115.0, Distance 1: 137.0, Distance 2: 50.0
Compass Angle: 112.0, Distance 1: 148.0, Distance 2: 50.0
Compass Angle: 111.0, Distance 1: 139.0, Distance 2: 50.0
Compass Angle: 113.0, Distance 1: 130.0, Distance 2: 50.0
Compass Angle: 102.0, Distance 1: 127.0, Distance 2: 50.0
Compass Angle: 103.0, Distance 1: 121.0, Distance 2: 50.0
Compass Angle: 104.0, Distance 1: 124.0, Distance 2: 50.0
Compass Angle: 94.0, Distance 1: 128.0, Distance 2: 50.0
Compass Angle: 93.0, Distance 1: 105.0, Distance 2: 50.0
Compass Angle: 98.0, Distance 1: 130.0, Distance 2: 50.0
Compass Angle: 90.0, Distance 1: 115.0, Distance 2: 50.0
